Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-04-02,Iron Man,2008,https://boxd.it/Gb3xR,,,"movie theater, dad",2008-04-30
2014-02-10,Disaster Movie,2008,https://boxd.it/2yrCn,2.5,,movie theater,2008-08-29
2014-02-10,Meet the Spartans,2008,https://boxd.it/2yrHd,1.5,,"home, bro",2009-06-06
2019-01-16,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/C29df,3,,"movie theater, bro",2009-07-15
2017-08-16,Salt,2010,https://boxd.it/jlFKd,3,,"movie theater, crol, alcantara",2010-07-30
2019-01-17,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/C6YGb,4.5,,movie theater,2010-11-19
2019-04-10,Thor,2011,https://boxd.it/Gyd05,,,movie theater,2011-04-29
2019-01-17,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/C7amH,4.5,,movie theater,2011-07-15
2019-04-16,Iron Man 3,2013,https://boxd.it/GOZp5,,,movie theater,2013-05-02
2016-10-14,I Know What You Did Last Summer,1997,https://boxd.it/bES0D,3,,"netflix, bro, rafa",2013-09-13
2016-10-14,Saved!,2004,https://boxd.it/bES4P,4,Yes,netflix,2013-09-19
2018-02-27,Bridge to Terabithia,2007,https://boxd.it/pfoa5,4,,"crol, cms",2013-10-28
2014-02-10,Frozen,2013,https://boxd.it/2yr2z,4,,"crol, fave",2014-01-31
2014-02-10,Heathers,1989,https://boxd.it/2yr8d,5,,"netflix, bro, Vfave",2014-02-08
2016-10-14,Clueless,1995,https://boxd.it/bES7p,4.5,Yes,"netflix, bro",2014-03-05
2016-10-14,Safety Not Guaranteed,2012,https://boxd.it/bESbL,4,,netflix,2014-03-09
2016-10-14,Turistas,2006,https://boxd.it/bESdn,2.5,,"netflix, luiz",2014-07-01
2016-10-14,Eden Lake,2008,https://boxd.it/bESjZ,2.5,,"netflix, aunt, rafa, bro",2014-07-08
2016-10-14,Scorned,2013,https://boxd.it/bESBf,4,,"online, matty",2014-09-07
2016-10-14,The Wicked,2013,https://boxd.it/bET2b,2.5,,online,2014-09-17
2016-10-14,P2,2007,https://boxd.it/bESlh,3,,netflix,2014-09-22
2016-10-14,The Cabin in the Woods,2011,https://boxd.it/bESnn,5,,netflix,2014-10-19
