Date,Name,Year,Letterboxd URI,Rating
2014-02-10,Heathers,1989,https://boxd.it/26x4,5
2014-02-10,Meet the Spartans,2008,https://boxd.it/213S,1.5
2015-01-13,Exodus: Gods and Kings,2014,https://boxd.it/4FV0,3
2015-01-13,Case 39,2009,https://boxd.it/1pMq,4
2015-01-13,The Sleepwalker,2014,https://boxd.it/7bQ6,1
2015-01-13,You're Next,2011,https://boxd.it/2WWK,5
2015-01-13,Open Graves,2009,https://boxd.it/1ps6,2
2015-01-13,Legacy,2008,https://boxd.it/1iLq,0.5
2015-01-14,The Haunting in Connecticut,2009,https://boxd.it/1Gko,3.5
2015-01-14,The Haunting in Connecticut 2: Ghosts of Georgia,2013,https://boxd.it/4KfI,1
2015-01-17,John Wick,2014,https://boxd.it/7dEc,3.5
2015-01-17,Ouija,2014,https://boxd.it/77SM,2
2015-01-17,[REC],2007,https://boxd.it/20ma,4
2015-02-04,Cloverfield,2008,https://boxd.it/2192,4
2015-02-06,Triple Dog,2010,https://boxd.it/MDY,3.5
2015-02-13,The Possession,2012,https://boxd.it/2Hla,2.5
2015-02-16,The Quiet Ones,2014,https://boxd.it/5Q3A,2.5
2015-02-16,Mirrors,2008,https://boxd.it/1Q0y,2.5
2015-03-08,The Lazarus Effect,2015,https://boxd.it/7anW,3
2015-04-03,Insidious: Chapter 2,2013,https://boxd.it/3dqc,4
2015-04-16,The Resident,2011,https://boxd.it/D5S,2.5
2015-04-16,Loucas pra Casar,2015,https://boxd.it/7LaK,3
2015-06-07,The Ring Two,2005,https://boxd.it/1Wy2,3.5
2015-06-07,Drag Me to Hell,2009,https://boxd.it/1Jzw,5
2015-06-07,Pitch Perfect,2012,https://boxd.it/3OsE,4
2015-06-07,Sinister,2012,https://boxd.it/2TnW,3.5
2015-06-26,The Skeleton Key,2005,https://boxd.it/1XxE,5
2015-06-27,Pulse,2006,https://boxd.it/1Y44,1.5
2015-06-28,The Double,2013,https://boxd.it/4DLW,4
2015-06-30,The Number 23,2007,https://boxd.it/258C,3
2015-06-30,One Missed Call,2008,https://boxd.it/21jQ,3
2015-07-13,G.B.F.,2013,https://boxd.it/5mgE,4
2015-07-22,The House of the Devil,2009,https://boxd.it/1uIe,3
2015-08-03,Scary Movie 3,2003,https://boxd.it/24Be,4
2015-08-27,Disturbia,2007,https://boxd.it/20rk,3.5
2015-08-27,Cube,1997,https://boxd.it/2aoU,4.5
2015-09-04,4.3.2.1,2010,https://boxd.it/QS4,5
2015-09-04,Triangle,2009,https://boxd.it/1tQG,5
2015-09-05,Sinister 2,2015,https://boxd.it/8L58,3
2015-11-01,Dawn of the Dead,2004,https://boxd.it/29gK,4
2015-11-01,Scream 4,2011,https://boxd.it/Zmc,5
2015-11-01,Cursed,2005,https://boxd.it/1XiY,5
2015-11-01,Sorority Row,2009,https://boxd.it/1tn0,3
2015-11-01,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,5
2015-11-01,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,https://boxd.it/1XiE,2.5
2015-11-01,Cry Wolf,2005,https://boxd.it/1X6S,5
2015-11-01,Liars All,2013,https://boxd.it/5US8,3.5
2015-11-01,Hollow Man,2000,https://boxd.it/1YP0,3.5
2015-11-01,Final Girl,2015,https://boxd.it/8sD6,2
2015-11-02,I Spit on Your Grave,2010,https://boxd.it/Tbs,4
2015-11-02,A Nightmare on Elm Street 3: Dream Warriors,1987,https://boxd.it/1X9W,4.5
2015-11-16,The Call,2013,https://boxd.it/4Xgu,3.5
2015-11-28,The Starving Games,2013,https://boxd.it/6FCG,1
2015-12-13,The Task,2011,https://boxd.it/qP4,2.5
2015-12-13,Disaster Movie,2008,https://boxd.it/1Pnc,3
2015-12-23,The Final Girls,2015,https://boxd.it/9gv2,5
2015-12-30,Casa Grande,2014,https://boxd.it/81AO,3
2015-12-30,The Visit,2015,https://boxd.it/9ssO,3.5
2016-01-02,Charlie's Angels,2000,https://boxd.it/24v6,5
2016-01-03,Charlie's Angels: Full Throttle,2003,https://boxd.it/1YB8,5
2016-01-12,The Second Mother,2015,https://boxd.it/9Ydm,5
2016-01-14,Romy and Michele's High School Reunion,1997,https://boxd.it/1Yf2,3.5
2016-01-15,The Sisterhood of the Traveling Pants,2005,https://boxd.it/1XPo,4
2016-05-27,Scary Movie 2,2001,https://boxd.it/24Cw,3
2016-05-27,The Gift,2015,https://boxd.it/aJMy,3
2016-05-27,Knights of Badassdom,2013,https://boxd.it/2AUM,2.5
2016-05-27,Jennifer's Body,2009,https://boxd.it/1Efw,5
2016-06-03,Coherence,2013,https://boxd.it/6xza,5
2016-06-03,The Boy,2016,https://boxd.it/apZi,2.5
2016-06-15,Annabelle,2014,https://boxd.it/7l84,1
2016-06-23,Magic in the Moonlight,2014,https://boxd.it/6Lko,3
2016-06-27,The Purge: Anarchy,2014,https://boxd.it/71zk,3.5
2016-06-29,The Fundamentals of Caring,2016,https://boxd.it/aiai,4.5
2016-07-02,Quarantine,2008,https://boxd.it/1Pmo,2.5
2016-07-03,Quarantine 2: Terminal,2011,https://boxd.it/iPA,2.5
2016-07-10,Dorothy Mills,2008,https://boxd.it/1LBY,3
2016-07-10,Wet Hot American Summer,2001,https://boxd.it/27hw,3.5
2016-07-17,Finding Dory,2016,https://boxd.it/4aAA,4
2016-07-17,Freddy vs. Jason,2003,https://boxd.it/21FC,3
2016-07-23,House on Haunted Hill,1999,https://boxd.it/1TZE,1
2016-07-25,Mono,2016,https://boxd.it/efX0,1.5
2016-07-27,The Invitation,2015,https://boxd.it/9OUU,3
2016-07-27,Oldboy,2003,https://boxd.it/29R2,5
2016-07-28,The Evil Dead,1981,https://boxd.it/29Go,5
2016-07-30,Would You Rather,2012,https://boxd.it/3m0W,2.5
2016-07-30,Faces in the Crowd,2011,https://boxd.it/2tbg,3.5
2016-07-31,Bad Night,2015,https://boxd.it/bHk0,3
2016-08-05,The Babadook,2014,https://boxd.it/77xu,4.5
2016-08-10,Suicide Squad,2016,https://boxd.it/9row,3
2016-08-12,Lights Out,2013,https://boxd.it/7GU4,3
2016-08-23,The Culling,2015,https://boxd.it/9WsY,1
2016-08-26,Holidays,2016,https://boxd.it/avB2,2.5
2016-09-01,Starry Eyes,2014,https://boxd.it/7t3Q,4
2016-09-02,The Secret Life of Pets,2016,https://boxd.it/aJ5E,3
2016-09-02,ATM,2012,https://boxd.it/3aeM,1
2016-09-04,Miss You Already,2015,https://boxd.it/96B0,4
2016-09-04,Teen Spirit,2011,https://boxd.it/2mHk,2.5
2016-09-07,A Christmas Carol,2009,https://boxd.it/1HKW,3.5
2016-09-07,Manhole,2014,https://boxd.it/8ivG,2
2016-09-09,Aquarius,2016,https://boxd.it/d6YQ,4.5
2016-09-10,Ginger & Rosa,2012,https://boxd.it/41Ig,3.5
2016-09-22,Knock Knock,2015,https://boxd.it/7Q9s,2.5
2016-09-24,The Game,1997,https://boxd.it/26vC,3.5
2016-09-24,Most Likely to Die,2015,https://boxd.it/bFlg,1
2016-09-25,Storks,2016,https://boxd.it/aUo8,4
2016-10-02,Tomboy,2011,https://boxd.it/49U,4.5
2016-10-04,12 Angry Men,1957,https://boxd.it/2auI,4.5
2016-10-07,Lights Out,2016,https://boxd.it/bAHc,2.5
2016-10-08,Night of the Demons,1988,https://boxd.it/1wLO,4
2016-10-09,Requirements to Be a Normal Person,2015,https://boxd.it/aRV4,4
2016-10-11,Lila & Eve,2015,https://boxd.it/9VEu,3
2016-10-12,The Silenced,2015,https://boxd.it/brx8,2
2016-10-13,Juno,2007,https://boxd.it/210a,3
2016-10-14,It Follows,2014,https://boxd.it/87wo,4
2016-10-14,Saved!,2004,https://boxd.it/1QCM,4
2016-10-14,Clueless,1995,https://boxd.it/1Ygk,4.5
2016-10-14,Safety Not Guaranteed,2012,https://boxd.it/2Y3M,4
2016-10-14,Turistas,2006,https://boxd.it/1XMY,2.5
2016-10-14,Eden Lake,2008,https://boxd.it/1Q1m,2.5
2016-10-14,P2,2007,https://boxd.it/1Q6m,3
2016-10-14,The Cabin in the Woods,2011,https://boxd.it/1zOc,5
2016-10-14,Scorned,2013,https://boxd.it/77aK,4
2016-10-14,The Wicked,2013,https://boxd.it/4hkE,2.5
2016-10-14,The Strangers,2008,https://boxd.it/1VGY,4
2016-10-14,9,2009,https://boxd.it/1Scm,3.5
2016-10-14,Tales of Halloween,2015,https://boxd.it/9OWw,3
2016-10-16,The Purge,2013,https://boxd.it/4Xg0,1.5
2016-10-17,Ringu,1998,https://boxd.it/26tw,2
2016-10-18,The Grudge,2004,https://boxd.it/27Jq,2.5
2016-10-19,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,5
2016-10-19,Gothika,2003,https://boxd.it/23y4,3
2016-10-21,The First Time,2012,https://boxd.it/2XLS,3
2016-10-29,Crimson Peak,2015,https://boxd.it/62Ty,4
2016-10-29,White Chicks,2004,https://boxd.it/1SpK,4
2016-10-29,Ginger Snaps,2000,https://boxd.it/1XEg,4
2016-10-30,The Conjuring 2,2016,https://boxd.it/7GJg,3
2016-11-01,Dead End,2003,https://boxd.it/1TRK,2.5
2016-11-06,American Reflexxx,2015,https://boxd.it/bato,4.5
2016-11-08,Scream,1996,https://boxd.it/24EC,5
2016-11-19,Lemony Snicket's A Series of Unfortunate Events,2004,https://boxd.it/1T7s,4.5
2016-11-21,Julie & Julia,2009,https://boxd.it/1wXg,3
2016-11-22,The Kids Are All Right,2010,https://boxd.it/13f0,3
2016-11-30,I Killed My Mother,2009,https://boxd.it/1ubO,3.5
2016-12-10,Little Sister,2016,https://boxd.it/dgaG,3
2016-12-10,Sanjay's Super Team,2015,https://boxd.it/bA6A,3
2016-12-12,The Little Rascals,1994,https://boxd.it/1V8i,3
2017-01-02,Going the Distance,2010,https://boxd.it/16Pq,3
2017-01-03,Puella Magi Madoka Magica the Movie Part III: Rebellion,2013,https://boxd.it/6kx6,4
2017-01-03,Puella Magi Madoka Magica the Movie Part I: Beginnings,2012,https://boxd.it/4Nam,4
