Date,Name,Year,Letterboxd URI
2016-12-20,But I'm a Cheerleader,1999,https://boxd.it/1CW4
2017-01-15,Your Sister's Sister,2011,https://boxd.it/2Y04
2017-02-11,The Nice Guys,2016,https://boxd.it/94Hg
2017-02-20,Dude Bro Party Massacre III,2015,https://boxd.it/9ofG
2017-02-22,Sisters,2015,https://boxd.it/7X7I
2017-02-23,Happy-Go-Lucky,2008,https://boxd.it/1W68
2017-02-23,Imagine Me & You,2005,https://boxd.it/28E2
2017-02-25,Jawbreaker,1999,https://boxd.it/1G7a
2017-02-26,Ghost World,2001,https://boxd.it/28Dy
2017-02-26,Celeste & Jesse Forever,2012,https://boxd.it/2XOi
2017-03-07,Club Dread,2004,https://boxd.it/1Ulq
2017-03-08,Housebound,2014,https://boxd.it/7qOk
2017-03-09,Closet Monster,2015,https://boxd.it/bU3c
2017-03-10,Ex Machina,2015,https://boxd.it/7T2k
2017-03-10,Joshy,2016,https://boxd.it/bS56
2017-03-10,The Way Way Back,2013,https://boxd.it/4Gwq
2017-03-15,Twixt,2011,https://boxd.it/2IFU
2017-05-04,The Last Word,2008,https://boxd.it/1J3U
2017-05-07,Raise Your Voice,2004,https://boxd.it/1OUk
2017-05-09,Rachel Getting Married,2008,https://boxd.it/1N30
2017-05-11,Paperhouse,1988,https://boxd.it/Y50
2017-05-11,Bad Influence,1990,https://boxd.it/1y14
2017-05-12,Beginners,2010,https://boxd.it/s2S
2017-05-25,Dogtooth,2009,https://boxd.it/158K
2017-05-25,A Girl Walks Home Alone at Night,2014,https://boxd.it/7nZE
2017-05-25,Breathe,2014,https://boxd.it/87L4
2017-05-25,The Piano,1993,https://boxd.it/29Kq
2017-05-25,Martha Marcy May Marlene,2011,https://boxd.it/CJs
2017-05-25,Blue Ruin,2013,https://boxd.it/5H8G
2017-05-25,Wild,2014,https://boxd.it/6KQo
2017-05-25,Fargo,1996,https://boxd.it/2aHM
2017-06-02,Mermaids,2017,https://boxd.it/g094
2017-06-21,Weekend,2011,https://boxd.it/2Kzu
2017-07-09,Speech & Debate,2017,https://boxd.it/bH1M
2017-08-24,House of Games,1987,https://boxd.it/1tji
2018-03-13,Under the Silver Lake,2018,https://boxd.it/dSAs
2018-05-12,Little Woods,2018,https://boxd.it/g76c
2018-06-13,Perfect Sense,2011,https://boxd.it/A3O
2018-07-08,Women Who Kill,2016,https://boxd.it/drNY
2018-09-12,Hearts Beat Loud,2018,https://boxd.it/gReG
2018-09-12,Nancy,2018,https://boxd.it/hhpg
2018-09-14,Down with Love,2003,https://boxd.it/1VyA
2018-09-14,Take This Waltz,2011,https://boxd.it/34vW
2019-02-28,Zola,2020,https://boxd.it/jEWQ
2019-05-11,The Intern,2015,https://boxd.it/7AOE
2019-05-11,Begin Again,2013,https://boxd.it/5Ybs
2019-10-02,Confessions,2010,https://boxd.it/uRS
2019-10-02,The World of Kanako,2014,https://boxd.it/7nCq
2019-11-02,The Blue Hour,2015,https://boxd.it/ayS6
2020-04-29,The Net,1995,https://boxd.it/28pG
2020-05-05,Possessor,2020,https://boxd.it/fsJW
2020-10-10,Twisted Nightmare,1987,https://boxd.it/30e8
2020-10-20,Serial Mom,1994,https://boxd.it/1Tty
2020-10-24,Perfect Strangers,1984,https://boxd.it/2JwE
2020-11-01,Ghostland,2018,https://boxd.it/h5Uw
2020-11-04,Yoga Hosers,2016,https://boxd.it/96GE
2020-11-08,Shithouse,2020,https://boxd.it/nCFc
2021-03-02,The Map of Tiny Perfect Things,2021,https://boxd.it/p3O8
2021-03-21,Slaxx,2020,https://boxd.it/ml7K
2021-06-03,Playdurizm,2020,https://boxd.it/pYzk
2021-07-12,Satanic Panic,2019,https://boxd.it/jEEW
2021-08-12,Words on Bathroom Walls,2020,https://boxd.it/j1iW
2021-08-19,Followed,2018,https://boxd.it/iVre
2021-09-26,Nightbooks,2021,https://boxd.it/rLUI
2021-10-09,Angel,1984,https://boxd.it/287s
2021-10-15,Final Exam,1981,https://boxd.it/11IE
2021-10-21,Disturbing Behavior,1998,https://boxd.it/1YIy
2021-10-30,The Vanishing,1988,https://boxd.it/1ZTW
2021-11-07,Censor,2021,https://boxd.it/oHFS
2021-11-08,Initiation,2020,https://boxd.it/mANw
2021-11-30,Group Marriage,1973,https://boxd.it/3a9s
2022-01-24,Kill Me Please,2015,https://boxd.it/cbcA
2022-01-24,Watcher,2022,https://boxd.it/uocO
